DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
JIMBO'S BURGER PALACE,MANHATTAN,535,LENOX AVENUE,10037,"535 LENOX AVENUE, MANHATTAN, NY 10037",American,3/2/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,3/2/2018
LENWICH,MANHATTAN,302,COLUMBUS AVE,10023,"302 COLUMBUS AVE, MANHATTAN, NY 10023",American,11/15/2017,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,12,A,11/15/2017
XING WONG BBQ,MANHATTAN,89,E BROADWAY,10002,"89 E BROADWAY, MANHATTAN, NY 10002",Chinese,7/20/2018,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,23,B,7/20/2018
SLICED BY HARLEM PIZZA CO.,MANHATTAN,1215,AMSTERDAM AVE,10027,"1215 AMSTERDAM AVE, MANHATTAN, NY 10027",Pizza,2/22/2019,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,Z,2/22/2019
LA BONNE SOUPE BISTRO,MANHATTAN,48,WEST   55 STREET,10019,"48 WEST   55 STREET, MANHATTAN, NY 10019",French,1/24/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,B,1/24/2017
GREGORY'S COFFEE,MANHATTAN,42,BROADWAY,10004,"42 BROADWAY, MANHATTAN, NY 10004",CafÃ©/Coffee/Tea,3/25/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,3/25/2016
HELL'S KITCHEN,MANHATTAN,754,9 AVENUE,10019,"754 9 AVENUE, MANHATTAN, NY 10019",Mexican,1/18/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,1/18/2017
PERFECT TASTE,MANHATTAN,1884,PARK AVENUE,10035,"1884 PARK AVENUE, MANHATTAN, NY 10035",Chinese,10/31/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,10/31/2016
THE MEZZ (GOOGLE),MANHATTAN,75,9TH AVE,10011,"75 9TH AVE, MANHATTAN, NY 10011",American,9/7/2018,Food contact surface not properly maintained.,Not Critical,7,A,9/7/2018
BUTTER LANE,MANHATTAN,123,E 7TH ST,10009,"123 E 7TH ST, MANHATTAN, NY 10009",Bakery,3/28/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,3/28/2018
THE EAGLE,MANHATTAN,554,WEST   28 STREET,10001,"554 WEST   28 STREET, MANHATTAN, NY 10001",American,3/28/2019,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,3/28/2019
BAGELS AND MORE,MANHATTAN,1585,3RD AVE,10128,"1585 3RD AVE, MANHATTAN, NY 10128",Bagels/Pretzels,3/26/2018,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,3/26/2018
STAR 99C PIZZA,MANHATTAN,156,DELANCEY ST,10002,"156 DELANCEY ST, MANHATTAN, NY 10002",Pizza,6/29/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/29/2018
TIANTI BOOKS CAFE MEDiTATION,MANHATTAN,535,8TH AVE,10018,"535 8TH AVE, MANHATTAN, NY 10018",American,1/31/2018,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,1/31/2018
DOWN TOWN ASSOCIATION,MANHATTAN,60,PINE STREET,10005,"60 PINE STREET, MANHATTAN, NY 10005",American,6/21/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,P,6/21/2017
HALE & HEARTY SOUP,MANHATTAN,369,LEXINGTON AVE,10017,"369 LEXINGTON AVE, MANHATTAN, NY 10017",Soups & Sandwiches,8/3/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,8/3/2018
LENWICH,MANHATTAN,1,PENN PLZ,10119,"1 PENN PLZ, MANHATTAN, NY 10119",Sandwiches,9/21/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,9/21/2018
KANOYAMA,MANHATTAN,175,2 AVENUE,10003,"175 2 AVENUE, MANHATTAN, NY 10003",Japanese,3/15/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,3/15/2018
GREAT TASTE BAKERY,MANHATTAN,3335,CATHERINE STREET,,"3335 CATHERINE STREET, MANHATTAN, NY ",Bakery,4/14/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,27,B,4/14/2017
PARS NEW YORK,MANHATTAN,249,W 26TH ST,10001,"249 W 26TH ST, MANHATTAN, NY 10001",American,4/7/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,30,C,4/7/2017
FELICE,MANHATTAN,15,GOLD STREET,10038,"15 GOLD STREET, MANHATTAN, NY 10038",Italian,6/5/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,6/5/2015
GRADISCA RESTAURANT,MANHATTAN,126,WEST   13 STREET,10011,"126 WEST   13 STREET, MANHATTAN, NY 10011",Italian,2/5/2019,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,B,2/5/2019
BARBUTO,MANHATTAN,775,WASHINGTON STREET,10014,"775 WASHINGTON STREET, MANHATTAN, NY 10014",Italian,4/18/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,4/18/2017
APOTHEKE/CHEMIST,MANHATTAN,9,DOYERS STREET,10013,"9 DOYERS STREET, MANHATTAN, NY 10013",American,1/13/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,1/13/2016
EMPIRE CHINESE RESTAURANT,MANHATTAN,1635,SAINT NICHOLAS AVE,10040,"1635 SAINT NICHOLAS AVE, MANHATTAN, NY 10040",Chinese,9/6/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,9/6/2018
OFF THE GRID PUB & GRUB,MANHATTAN,547,W 142ND ST,10031,"547 W 142ND ST, MANHATTAN, NY 10031",Spanish,10/9/2018,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,39,C,10/9/2018
MAYSVILLE,MANHATTAN,17,WEST   26 STREET,10010,"17 WEST   26 STREET, MANHATTAN, NY 10010",American,2/20/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2/20/2018
PERK KAFE,MANHATTAN,1867,2ND AVE,10029,"1867 2ND AVE, MANHATTAN, NY 10029",CafÃ©/Coffee/Tea,8/26/2016,Wiping cloths soiled or not stored in sanitizing solution.,Critical,5,A,8/26/2016
GOTAN,MANHATTAN,130,FRANKLIN ST,10013,"130 FRANKLIN ST, MANHATTAN, NY 10013",Mediterranean,9/15/2016,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,10,A,9/15/2016
BLACK DOOR,MANHATTAN,127,WEST   26 STREET,10001,"127 WEST   26 STREET, MANHATTAN, NY 10001",American,1/4/2019,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,1/4/2019
DIG INN,MANHATTAN,856,8TH AVE,10019,"856 8TH AVE, MANHATTAN, NY 10019",American,3/3/2017,Hot food item not held at or above 140Âº F.,Critical,7,A,3/3/2017
SAKAMAI,MANHATTAN,157,LUDLOW STREET,10002,"157 LUDLOW STREET, MANHATTAN, NY 10002",Asian,1/23/2018,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,11,A,1/23/2018
NOODIES THAI,MANHATTAN,830,9TH AVE,10019,"830 9TH AVE, MANHATTAN, NY 10019",Thai,2/27/2019,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,12,A,2/27/2019
SAMMY'S STEAKHOUSE,MANHATTAN,155157,CHRISTIE ST.,,"155157 CHRISTIE ST., MANHATTAN, NY ",Steak,3/7/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,3/7/2016
BO'S BAGELS,MANHATTAN,235,W 116TH ST,10026,"235 W 116TH ST, MANHATTAN, NY 10026",Bagels/Pretzels,4/26/2018,Food contact surface not properly maintained.,Not Critical,13,A,4/26/2018
FRIED FRANK CAFETERIA,MANHATTAN,1,NEW YORK PLAZA,10004,"1 NEW YORK PLAZA, MANHATTAN, NY 10004",American,1/2/2019,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,1/2/2019
JERSEY MIKE'S SUBS,MANHATTAN,938,3RD AVE,10022,"938 3RD AVE, MANHATTAN, NY 10022",Sandwiches,11/8/2017,Proper sanitization not provided for utensil ware washing operation.,Not Critical,11,A,11/8/2017
MR TAKA RAMEN,MANHATTAN,170,ALLEN ST,10002,"170 ALLEN ST, MANHATTAN, NY 10002",Japanese,8/29/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/29/2016
BARCADE,MANHATTAN,148,W 24TH ST,10011,"148 W 24TH ST, MANHATTAN, NY 10011",American,3/1/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,3/1/2016
DOMINIQUE ANSEL BAKERY,MANHATTAN,189,SPRING STREET,10012,"189 SPRING STREET, MANHATTAN, NY 10012",French,4/12/2018,Food contact surface not properly maintained.,Not Critical,12,A,4/12/2018
MANHATTAN MONSTER,MANHATTAN,80,GROVE STREET,10014,"80 GROVE STREET, MANHATTAN, NY 10014",American,12/15/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,12/15/2015
BONO'S CAFE,MANHATTAN,35,EAST   28 STREET,10016,"35 EAST   28 STREET, MANHATTAN, NY 10016",Delicatessen,3/2/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,3/2/2016
FINEST DUMPLING RESTAURANT,MANHATTAN,25 B,HENRY STREET,10002,"25 B HENRY STREET, MANHATTAN, NY 10002",Chinese,1/23/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,1/23/2017
LE SINGE,MANHATTAN,160,7 AVENUE,10011,"160 7 AVENUE, MANHATTAN, NY 10011",French,7/10/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,7/10/2018
COMA BUENO RESTAURANT,MANHATTAN,944,COLUMBUS AVENUE,10025,"944 COLUMBUS AVENUE, MANHATTAN, NY 10025","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/3/2017,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,2/3/2017
EAST DUMPLING,MANHATTAN,46,ELDRIDGE ST,10002,"46 ELDRIDGE ST, MANHATTAN, NY 10002",Chinese,4/5/2017,Food Protection Certificate not held by supervisor of food operations.,Critical,12,A,4/5/2017
NINTH STREET ESPRESSO,MANHATTAN,700,EAST    9 STREET,10009,"700 EAST    9 STREET, MANHATTAN, NY 10009",CafÃ©/Coffee/Tea,6/8/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,6/8/2017
MCDONALD'S,MANHATTAN,280,MADISON AVE,10016,"280 MADISON AVE, MANHATTAN, NY 10016",Hamburgers,11/4/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,11/4/2016
SENZA GLUTEN,MANHATTAN,206,SULLIVAN ST,10012,"206 SULLIVAN ST, MANHATTAN, NY 10012",Italian,11/20/2018,Food contact surface not properly maintained.,Not Critical,5,A,11/20/2018
525 LEX Restaurant/M Club Lounge/illy CafÃ©,MANHATTAN,525,LEXINGTON AVE,10017,"525 LEXINGTON AVE, MANHATTAN, NY 10017",American,7/25/2018,Hot food item not held at or above 140Âº F.,Critical,13,A,7/25/2018
MAMA'S PIZZA CAFE,MANHATTAN,705,8 AVENUE,10036,"705 8 AVENUE, MANHATTAN, NY 10036",Pizza,12/31/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,12/31/2015
SUBSTANCE ORGANIC JUICERY,MANHATTAN,2268,BROADWAY,10024,"2268 BROADWAY, MANHATTAN, NY 10024","Juice, Smoothies, Fruit Salads",12/20/2016,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,12/20/2016
MOCHA BURGER,MANHATTAN,496,LAGUARDIA PL,10012,"496 LAGUARDIA PL, MANHATTAN, NY 10012",Jewish/Kosher,1/15/2019,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,26,B,1/15/2019
SERAFINA BROADWAY,MANHATTAN,210,WEST   55 STREET,10019,"210 WEST   55 STREET, MANHATTAN, NY 10019",Italian,2/12/2018,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,11,A,2/12/2018
PASTA LOVERS TRATTORIA,MANHATTAN,142,WEST   49 STREET,10019,"142 WEST   49 STREET, MANHATTAN, NY 10019",Italian,3/8/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,3/8/2016
BARDOLINO PIZZA,MANHATTAN,1505,LEXINGTON AVE,10029,"1505 LEXINGTON AVE, MANHATTAN, NY 10029",Pizza,10/1/2018,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,30,C,10/1/2018
